????:????                                                                                                                                                        ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
??,??,??,,??,??,??,,??,??,??
?? cucumber,KG,3.5/kg,,?? woter melo,kg,2.5/kg,,??? nood,335g/pkt,3.5/pkt
??? pakchoy,KG,4/kg,,?? banana,13.5kg/ctn,7.5/kg,,?? toufu,500g/pkt,2.5/pkt
??? water onion,KG,3.5/kg,,?? orange,15kg/ctn,8.5/kg,,??? pressed toufu,400g/pkt,4.5/pkt
??? big potato,KG,3/kg,,???? fuji Apple,9kg/ctn,12.5/kg,,???? box toufu,500g/pkt,3.5/pkt
??? long beans,KG,10/kg,,?????  APPLE NEWZLAND,18kg/ctn,12.5/kg,,?? toufu siter,160g/pkt,3.5/pkt
?? galike spout,KG,15/KG,,????? Korla Peas,7kg/ctn,15.5/kg,,??? oli toufu,230g/pkt,3.5/pkt
?? s onion,KG,10/KG,,??Mandarin,10kg/ctn,12.5/kg,,???? soft toufu,350g/pkt,2.5/pkt
?? colianda,KG,10/kg,,Crown Pears ???,13.5kg/ctn,9.5/KG,,?? noodleB B,335g/pkt,3.5/pkt
?? Beijing onion,KG,10/kg,,Green Grapes ???,KG,22.5/KG,,??? egg noodle,1000g/pkt,8.5/pkt
??? tomato,KG,3.5/kg,,red grapes ???,KG,22.5/KG,,??? akea noodle,400g/pkt,3.5/pkt
??  Stem Lettuce,KG,10/kg,,,,,,??? square mock chicken,300g/pkt,8.5/pkt
??? big chilli long,KG,8.5/KG,,,,,,??? green beans pout,KG,3.5/kg
??? small chilli long,KG,6.5/KG,,,,,,??? yellow beans pout,KG,5.5/KG
??? red chilli long,KG,15/KG,,,,,,??? enokin,50pcs/ctn,1/cps
??? red capsicum,KG,9/KG,,,,,,??? Shimuji White Mushroom,40pcs/ctn,2.5/pkt
?? green capsicum,KG,5/KG,,,,,,???Shimuji Brown Mushrooms,40pcs/ctn,2.5/pkt
?? choy sum,KG,4.5/KG,,,,,,???Snow White Mushroom,60pcs/ctn,2.5/pkt
?? waiter pumpkin,KG,3.5/kg,,,,,,???Shiitake Mushroom,25pcs/ctn,5.5/pkt
?? eggpleng,KG,2.5/KG,,,,,,?? Oyster Mushroom,200g/pcs,6.5/pkt
??? green beans,KG,8.5/KG,,,,,,???King OysteMushroom,25pcs/ctn,2.5/pkt
??? small cabbage,KG,3.5/kg,,,,,,,,
??? Chinese Cabbage,KG,3.5/kg,,,,,,,,
??? kankong,KG,6/KG,,,,,,,,
?? lantis,KG,18.5/KG,,,,,,,,
??? broccoli,KG,9/KG,,,,,,,,
??? califuloer,KG,4.5/KG,,,,,,,,
??? carote,KG,3.5/kg,,,,,,,,
??? raddish,KG,3.5/kg,,,,,,,,
??  Lotus Root,10kg/ctn,10/kg,,,,,,,,
?? corn,KG,6.5/KG,,,,,,,,
?? yam,10kg/ctn,10/kg,,,,,,,,
?? celery,KG,4.5/KG,,,,,,,,
??? samll celery,KG,10/kg,,,,,,,,
?? spiach,4.5KG/CTN,18/KG,,,,,,,,
??? Sord Lettuce,4.5KG/CTN,10/kg,,,,,,,,
?? yellow pumpkin,KG,2.5/KG,,,,,,,,
?? CABBAGE WHITE ROUND,KG,2.5/KG,,,,,,,,
??? big cabbage,KG,3.5/kg,,,,,,,,
?? kusa,KG,3.5/kg,,,,,,,,
?? Sweet Potato local,5KG/CTN,5.5/KG,,,,,,,,
?? chives,KG,15/KG,,,,,,,,
????? Thai Red chili ,100g/pkt,4.5/pcs,,,,,,,,
?? ginger,2.5kg/ctn,10/kg,,,,,,,,
??? open galike,2.5kg/pkt,10/kg,,,,,,,,
???? Baby pumpkin,2KG/CTN,12.5/KG,,,,,,,,
??,??,??,,??,??,??,,??,??,??
????BEEF MEAT,KG,28/KG,,???PORK BELLY,KG,15.5/KG,,SMOKED SAUSAGE ??,KG,55/KG
??????,KG,32/KG,,???? PORK LION RIPS,KG,22/KG,,???,PKT,65/PKT
????Fresh Beef brisket,KG,21/kg,,??? PORK MINS,10KG,22/KG,,???,PKT,55/PKT
????? Beeff tenderloin,KG,35/KG,,??? PORK LION B/L,20KG,22/KG,,small lobster tail off 500GM  ??????,PKT,26.5
??????,KG,35/KG,,??? PORK KNUCKLE,KG,22/KG,,,,
?????,KG,32/KG,,?? PORK INTESTINE,KG,19.5/KG,,,,
??????mutton bag leg mite,KG,35/KG,,?? PORK STOMACH/TRIPE,KG,18.5/KG,,,,
????Fresh Maten ripus,KG,35/KG,,?? PORK LIVER,10kg/ctn,13.5/KG,,,,
???? Fresh Mutto,KG,35/KG,,??? PORK EAR,15kg/ctn,13.5/KG,,,,
????40/50,KG,24/KG,,??? Big chicken leg cota 15KG,15kg/ctn,128/ ctn,,,,
????30/40 Shrimp 30/40,KG,28.5/KG,,chekin breast???,12KG/CTN,15.5/KG,,,,
????Shrimp tail of21/25,KG,30/KG,,????? CHICKEN LEG B/L S/L6X2KGS,12KG/CTN,18.5/KG,,,,
FROZEN SQUID U10 ????U10,KG,18.5/KG,,??? Big chicken leg ,10.8KG/CTN,13.5/KG,,,,
??????? Medium Grouper,KG,34/KG,,??  Chicen wings,15kg/ctn,15.5/KG,,,,
????,KG,27/KG,,??? Small chick leg,10.8KG/CTN,13.5/KG,,,,
????,KG,24/KG,,,,,,,,
????PANGUSHI,10KG/CTN,9.8/KG,,,,,,,,
??? OLD CHICKEN(???),6PCS/CTN,38/PCS,,,,,,,,
?? CHICKEN GIZZAD,9KG/CTN,13.5/KG,,,,,,,,
??DUCK ,13.5KG/CTN,14.5/KG,,,,,,,,
????,10KG/CTN,15/KG,,,,,,,,
???? Crab,KG,27/KG,,,,,,,,
???? Striped bass,KG,55/KG,,,,,,,,
???? Beef reibs,KG,21/kg,,,,,,,,
FROZEN SQUID U10 ????U10,KG,18.5/KG,,,,,,,,
????? Freezing beef muscle,KG,23/KG,,,,,,,,
?? Fish Fillet,10KG/CTN,10/KG,,,,,,,,
MUTON OIL ???,KG,35/KG,,,,,,,,
???? maten boon,KG,18.5/KG,,,,,,,,
 Beef bone ???,KG,8.5/KG,,,,,,,,
??,??,??,,??,??,??,,??,??,??
????? 750ml box,500pcs/ctn,185/ctn,,??? kitchen peiper,ctn,65/ctn,,HAYAT oil ?(?),P,95/P
?????BAMBOO STICK,2000pcs/pkt,75/pkt,,????? Black  bag,ctn,85/ctn,,?? egg,ctn,165/ctn
????? White bag,CTN,145/CTN,,FACE TOWEL ???,PCS,6.5/PCS,, Corn Oil ???,ctn,145/ctn
COFFEE CUP?????,PKT,8.5/PKT,,,,,,RICE??,40KG/PKT,4/KG
????? 350ML/1000PCS,1000pcs/ctn,185/ctn,,,,,,,,
???? Dishwashing sponge,PKT,18.5/PKT,,,,,,,,
BLACK PLASTIC BOWN ?????,PKT,13.5/PKT,,,,,,,,
??,??,??,,??,??,??,,??,??,??
Black fungus ??,kg,65/kg,,Cooking wine ??,CTN,75/CTN,,RED LABAN UP ????,P,1/PCS
Sweet potato noodles ????,1KG/PCS,18.5/PKT,,RED CURD SAUCE ???,PCS,13.5/PCS,, COCACOLA 2.26L ????,CTN,50/CTN
Spring shoots ??,CTN,145/CTN,,oginomoto ??,10PCS/CTN,13.5/PCS,,Orange Juice??,6P/CTN,8.5/PCS
????? Wudeli flour ,25kg/pkt,105/pkt,,YEAST ??,cps,18.5/pcs,,?? milk,CTN,55/CTN
???? CORN  CTARCH,25kg/pkt,4.5/KG,,Chichen essence seasoning ??,10PCS/CTN,22/pcs,,AL MOND MILK ????,PCS,18.5/PCS
??? Dried daylily,KG,45/KG,,CHICKEN POWDER 2KG ????,pcs,65/pcs,,??? Manguo juice,PCS,8.5/PCS
???? TOFU SHEET,2.5KG/PKT,32/PKT,,dish wash ???,ctn,135/ctn,,?????1.5L Kiwi juice,PCS,14.5/PCS
??? Kiss the intestines,pkt,55/pkt,,SEAFOOD SAUCE ???,15P/CTN,6.5/PCS,,??? Mirinda,CTN,55/CTN
???  Spicy soup,10PCS/CTN,13.5/PKT,,??? Black pepper juice,12p/ctn,8.5/pcs,,,,
??? Fish Pickles,CTN,85/ CTN,,??????,pcs,2.5/pcs,,,,
????? Lee Kum Kee sesame oil,12pcs/ctn,13.5/pcs,,Hai tian soybean paste ?????,pcs,6.5/PCS,,,,
????? Spicy fish seasoning,40pcs/ctn,9.5/pcs,,BEAN DRUM ??,pkt,4.5/pcs,,,,
OLD CHILLI SAURCE ???,24p/ctn,8.5/pcs,,Special thick chisauce ????,6p/ctn,85/ctn,,,,
GRASS FRUIT ??,KG,45/KG,,Porphyra ??,pkt,35/pkt,,,,
ANGELICA DAHURICA ??,KG,55/KG,,?????? Korean chili powder,1kg/pkt,18.5/pcs,,,,
Dried shredded kelp???,ctn,85/ CTN,,Broad Bean Paste ???,6p/ctn,85/ctn,,,,
??????  500G/PKT,pkt,18.5/PKT,,light soy sauce ????(??),6p/ctn,75/CTN,,,,
WANG ZHONG WANG ??????,pkt,18.5/PKT,,9°RICE VINEGER 9°??,P,6.5/PCS,,,,
Millet ??,kg,12.5/kg,,oil consumption hai tian ????,CTN,85/ctn,,,,
CORN CRUSH ???,kg,12.5/kg,,??? Rice wine lees,PCS,12/PCS,,,,
????China Dried chili peppers,2.5kg/pkt,35/kg,,,,,,,,
???  White pepper powder,PKT,18.5/PKT,,,,,,,,
??? Dried toufu piece,KG,45/KG,,,,,,,,
GRILLED SAUSAGES ?????,20PCS/CTN,18.5/PKT,,,,,,,,
Hot pickled mustard tuber ????,12pcs/ctn,8.5/pcs,,,,,,,,
Sugar ??,KG,3.5/KG,,,,,,,,
??????,40pcs/ctn,8.5/pcs,,,,,,,,
???? Paper Windmill cornstarch ,25kg/pkt,195/CTN,,,,,,,,
DRY YELLOW BEANS ??,KG,8.5/KG,,,,,,,,
???  peanuts,KG,13.5/KG,,,,,,,,
???   warter long beans,10PCS/CTN,13.5/pcs,,,,,,,,
